unidadeMedida,uomCode
AMP,AMP
BBN,BBN
BISN,BIS
BL,BL
BLD,BLD
BLIST,BLT
BOLSA,BOL
CAPS,CAP
CIL,CIL
CJ,CJ
CNT,CNT
COMP,COM
CX,CX
DRG,DRG
DS,DS
DZA,DZA
ENV,ENV
FA,FA
FL,FL
FLAC,FLA
FR,FR
GL,GL
GR,GR
GRF,GRF
GTS,GTS
JOGO,JOG
KG,KG
KIT,KIT
L,L
LT,LTA
MCG,MCG
MG,MG
MIL,MIL
ML,ML
MT,M
M2,M2
M3,M3
OVUL,OVU
PAR,PAR
PAST,PAS
PC,PÇA
PCT,PCT
PT,PT
RL,RL
RM,RM
SACHE,SAC
SER,SER
SUPS,SUP
TAB,TAB
TB,TB
UI,UI
UND,UND
UTR,UTR
FRD,FRD
VR,VRA
